food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
18-037,"Beef, mince, microwaved",MAC,263,26.4,17.5,7.6,0.0,0.0,0.0,0.228
18-469,"Beef, mince, raw",MAC,225,19.7,16.2,6.94,0.0,0.0,0.0,0.2
18-508,"Beef, mince, raw, extra lean",MAC,130,21.9,4.2,2.08,0.0,0.0,0.0,0.225
19-607,"Beef, mince, stewed",MR,139,10.9,9.9,3.79,2.5,0.6,0.3,0.708
18-470,"Beef, mince, stewed",MAC,209,21.8,13.5,5.72,0.0,0.0,0.0,0.182
19-606,"Beef, mince, with vegetables, stewed",MR,122,9.2,7.2,3.04,5.7,2.3,1.2,0.635
19-664,"Beef, minced, stewed with onions, extra lean",MR,113,12.1,3.6,1.24,2.5,0.6,0.3,0.72
18-045,"Beef, rump steak, barbecued, lean",MAC,176,31.2,5.7,2.4,0.0,0.0,0.0,0.195
18-046,"Beef, rump steak, barbecued, lean and fat",MAC,203,29.5,9.4,4.0,0.0,0.0,0.0,0.185
18-472,"Beef, rump steak, fried in corn oil, lean and fat",MAC,228,28.4,12.7,4.9,0.0,0.0,0.0,0.178
18-473,"Beef, rump steak, fried in corn oil, lean only",MAC,183,30.9,6.6,2.41,0.0,0.0,0.0,0.195
18-051,"Beef, rump steak, from steakhouse, lean and fat",MAC,213,27.5,11.4,4.9,0.0,0.0,0.0,0.165
18-050,"Beef, rump steak, from steakhouse, lean only",MAC,162,29.8,4.7,2.0,0.0,0.0,0.0,0.18
18-474,"Beef, rump steak, grilled, lean only",MAC,177,31.0,5.9,2.5,0.0,0.0,0.0,0.185
18-043,"Beef, rump steak, raw, lean",MAC,125,22.0,4.1,1.7,0.0,0.0,0.0,0.15
18-471,"Beef, rump steak, raw, lean and fat",MAC,174,20.7,10.1,4.3,0.0,0.0,0.0,0.14
18-052,"Beef, rump steak, strips, stir-fried in corn oil, lean",MAC,208,32.3,8.8,3.3,0.0,0.0,0.0,0.195
18-053,"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",MAC,248,29.7,14.4,5.6,0.0,0.0,0.0,0.178
18-056,"Beef, silverside, pot-roasted, lean",MAC,193,34.0,6.3,2.5,0.0,0.0,0.0,0.145
18-057,"Beef, silverside, pot-roasted, lean and fat",MAC,247,31.0,13.7,5.6,0.0,0.0,0.0,0.135
18-054,"Beef, silverside, raw, lean",MAC,134,23.8,4.3,1.6,0.0,0.0,0.0,0.155
18-055,"Beef, silverside, raw, lean and fat",MAC,215,20.4,14.8,5.9,0.0,0.0,0.0,0.132
18-060,"Beef, silverside, salted, boiled, lean",MAC,184,30.4,6.9,2.5,0.0,0.0,0.0,2.55
18-061,"Beef, silverside, salted, boiled, lean and fat",MAC,224,27.9,12.5,4.7,0.0,0.0,0.0,2.35
18-058,"Beef, silverside, salted, raw, lean",MAC,140,19.2,7.0,2.5,0.0,0.0,0.0,1.6
18-059,"Beef, silverside, salted, raw, lean and fat",MAC,227,16.3,18.0,6.8,0.0,0.0,0.0,1.375
18-062,"Beef, sirloin joint, roasted, lean",MAC,188,32.4,6.5,2.9,0.0,0.0,0.0,0.138
18-063,"Beef, sirloin joint, roasted, lean and fat",MAC,233,29.8,12.6,5.6,0.0,0.0,0.0,0.132
18-066,"Beef, sirloin steak, fried in corn oil, lean",MAC,189,28.8,8.2,3.4,0.0,0.0,0.0,0.172
18-067,"Beef, sirloin steak, fried in corn oil, lean and fat",MAC,233,26.8,14.0,6.0,0.0,0.0,0.0,0.16
18-074,"Beef, sirloin steak, from steakhouse, lean",MAC,172,31.5,5.1,2.2,0.0,0.0,0.0,0.19
18-075,"Beef, sirloin steak, from steakhouse, lean and fat",MAC,215,29.6,10.7,4.6,0.0,0.0,0.0,0.178
18-070,"Beef, sirloin steak, grilled medium-rare, lean",MAC,176,26.6,7.7,3.4,0.0,0.0,0.0,0.162
